,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
5128,fish,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,butter,syrup,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5130,bottled water,domestic eggs,hygiene articles,pet care,rolls/buns,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
5131,candy,detergent,frozen dessert,frozen vegetables,long life bakery product,margarine,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,
5132,canned beer,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5133,baking powder,frozen fruits,frozen vegetables,fruit/vegetable juice,herbs,long life bakery product,other vegetables,pickled vegetables,root vegetables,shopping bags,sparkling wine,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,,,
5134,bottled beer,dishes,domestic eggs,fish,frozen meals,liquor (appetizer),newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
5135,UHT-milk,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5136,berries,bottled water,cake bar,house keeping products,oil,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
5137,condensed milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5138,canned beer,margarine,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5139,canned beer,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,bags,frozen potato products,frozen vegetables,fruit/vegetable juice,napkins,pastry,pip fruit,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,
5141,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5142,frozen potato products,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5143,frozen meals,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5144,berries,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145,liquor,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5146,beverages,shopping bags,soda,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5148,canned beer,canned fish,citrus fruit,cling film/bags,coffee,condensed milk,frozen meals,kitchen towels,meat spreads,pip fruit,salty snack,shopping bags,tropical fruit,,,,,,,,,,,,,,,,,,,
5149,brown bread,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,bottled beer,ham,hard cheese,hygiene articles,onions,shopping bags,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,
5151,domestic eggs,napkins,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5152,UHT-milk,cream cheese,processed cheese,sugar,tropical fruit,white bread,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
5153,rolls/buns,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5154,bottled water,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5155,bottled beer,salt,specialty vegetables,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
5156,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5157,bottled beer,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5158,chewing gum,fruit/vegetable juice,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5159,chicken,domestic eggs,tropical fruit,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5161,onions,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5162,dessert,dog food,flower soil/fertilizer,other vegetables,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,butter,frankfurter,frozen meals,fruit/vegetable juice,other vegetables,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
5164,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5165,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5166,cream cheese,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5167,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168,bottled beer,brown bread,canned fish,dental care,mayonnaise,misc. beverages,other vegetables,soda,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,
5169,fruit/vegetable juice,long life bakery product,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5170,berries,canned beer,fruit/vegetable juice,pastry,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,bottled water,brown bread,canned beer,other vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5172,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5173,brown bread,canned fish,cream cheese,meat,meat spreads,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
5174,chewing gum,dessert,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5175,ham,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5176,chocolate,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5177,brown bread,frankfurter,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5178,candy,cat food,fruit/vegetable juice,processed cheese,shopping bags,soda,sugar,white bread,,,,,,,,,,,,,,,,,,,,,,,,
5179,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5180,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5181,herbs,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182,candy,dessert,soda,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
5183,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5184,candy,fruit/vegetable juice,misc. beverages,pip fruit,processed cheese,rolls/buns,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,
5185,cat food,sausage,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186,liquor (appetizer),soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5188,chocolate,detergent,frankfurter,other vegetables,rolls/buns,soda,white bread,white wine,,,,,,,,,,,,,,,,,,,,,,,,
5189,frozen meals,sausage,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5190,chewing gum,citrus fruit,pip fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5191,pastry,soda,sweet spreads,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
5192,canned beer,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5193,newspapers,shopping bags,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5194,beef,bottled beer,other vegetables,red/blush wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
5195,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5196,Instant food products,beverages,canned fruit,dessert,domestic eggs,flour,frankfurter,jam,margarine,pip fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,
5197,cake bar,canned beer,curd,pip fruit,sausage,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,,,,
5198,bottled water,soda,spread cheese,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,bottled water,ham,hard cheese,onions,other vegetables,pip fruit,sausage,shopping bags,white bread,,,,,,,,,,,,,,,,,,,,,,,
5200,UHT-milk,chewing gum,coffee,frankfurter,frozen vegetables,fruit/vegetable juice,shopping bags,soda,white wine,yogurt,,,,,,,,,,,,,,,,,,,,,,
5201,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5202,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5203,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5204,other vegetables,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5205,meat,other vegetables,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5206,cocoa drinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5207,butter,frozen meals,fruit/vegetable juice,pasta,sausage,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,
5208,brown bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5209,coffee,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5210,domestic eggs,house keeping products,red/blush wine,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
5211,UHT-milk,brandy,brown bread,canned beer,oil,sausage,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
5212,pastry,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5213,ice cream,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5214,liver loaf,rolls/buns,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,frankfurter,hamburger meat,kitchen towels,newspapers,other vegetables,rolls/buns,tropical fruit,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,
5216,chewing gum,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5217,cake bar,candy,salty snack,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5218,butter,chewing gum,dessert,margarine,rolls/buns,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
5219,chicken,other vegetables,pip fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220,bottled water,newspapers,rolls/buns,sausage,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
5221,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5222,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5223,UHT-milk,butter milk,ice cream,male cosmetics,newspapers,pip fruit,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,
5224,ice cream,soft cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5225,newspapers,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5226,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5227,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5228,curd,flower (seeds),hygiene articles,other vegetables,pasta,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,
5229,instant coffee,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5230,bottled beer,dishes,ice cream,prosecco,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
5231,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5232,citrus fruit,shopping bags,whipped/sour cream,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5233,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5235,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5236,dessert,other vegetables,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5237,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5238,cereals,other vegetables,rolls/buns,root vegetables,soap,soda,sugar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
5239,ice cream,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5240,bottled beer,curd,frozen meals,fruit/vegetable juice,long life bakery product,meat,newspapers,pastry,pip fruit,potato products,salty snack,whole milk,yogurt,,,,,,,,,,,,,,,,,,,
5241,brown bread,frankfurter,frozen fish,frozen meals,grapes,ham,other vegetables,pip fruit,sliced cheese,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,
5242,brown bread,canned vegetables,cream cheese,dessert,fruit/vegetable juice,rolls/buns,sliced cheese,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,
5243,brown bread,canned vegetables,chicken,domestic eggs,frozen vegetables,other vegetables,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
5244,baking powder,other vegetables,root vegetables,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245,fruit/vegetable juice,napkins,other vegetables,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246,coffee,tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5247,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5248,bottled beer,chicken,margarine,pork,specialty fat,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5250,brown bread,cream cheese,hamburger meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5251,pork,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5252,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5253,coffee,dental care,other vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5254,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5255,dishes,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5256,beef,candles,margarine,soda,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
5257,fruit/vegetable juice,meat spreads,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5258,chicken,whipped/sour cream,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5259,dessert,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5260,coffee,margarine,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5261,sausage,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,frozen meals,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5263,UHT-milk,domestic eggs,other vegetables,potted plants,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5265,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5266,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5267,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5268,UHT-milk,butter,cake bar,cereals,coffee,curd,margarine,pickled vegetables,pip fruit,root vegetables,specialty cheese,white bread,whole milk,yogurt,,,,,,,,,,,,,,,,,,
5269,fruit/vegetable juice,hard cheese,long life bakery product,meat,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
5270,bottled water,hard cheese,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5271,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5272,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5273,pip fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5274,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5275,Instant food products,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5276,pork,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5277,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5278,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5279,brown bread,butter,kitchen towels,meat,pork,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
5280,bottled water,cream cheese,frozen vegetables,ice cream,pip fruit,shopping bags,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
5281,canned beer,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5282,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5283,meat,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5284,UHT-milk,brown bread,cream cheese,dessert,frankfurter,hygiene articles,other vegetables,pastry,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,
5285,frozen vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5286,canned vegetables,ice cream,other vegetables,pasta,root vegetables,salty snack,soda,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,
5287,newspapers,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,hygiene articles,tropical fruit,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5289,canned beer,pork,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5290,bottled beer,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5291,cat food,chocolate,coffee,misc. beverages,pet care,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
5292,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5293,cake bar,chocolate,processed cheese,shopping bags,soda,specialty bar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
5294,fruit/vegetable juice,hard cheese,long life bakery product,other vegetables,root vegetables,sausage,tropical fruit,waffles,,,,,,,,,,,,,,,,,,,,,,,,
5295,brown bread,canned vegetables,chocolate,dental care,frozen vegetables,other vegetables,pork,roll products,sparkling wine,whole milk,,,,,,,,,,,,,,,,,,,,,,
5296,beef,curd,napkins,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
5297,butter milk,chicken,hamburger meat,other vegetables,sausage,whipped/sour cream,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
5298,UHT-milk,baking powder,bottled beer,bottled water,cat food,cream cheese,pasta,pet care,pip fruit,salty snack,sauces,shopping bags,tropical fruit,,,,,,,,,,,,,,,,,,,
5299,domestic eggs,fruit/vegetable juice,long life bakery product,rolls/buns,specialty bar,specialty chocolate,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
5300,bottled water,chocolate,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5301,beef,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5302,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5303,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304,bottled beer,bottled water,cat food,frozen meals,sausage,soda,tropical fruit,waffles,yogurt,,,,,,,,,,,,,,,,,,,,,,,
5305,butter,hygiene articles,napkins,other vegetables,pastry,pip fruit,sliced cheese,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,
5306,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5307,UHT-milk,mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5308,brown bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5309,brown bread,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5310,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5311,cat food,curd,herbs,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
5312,bathroom cleaner,oil,other vegetables,rice,root vegetables,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
5313,bottled water,chicken,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5314,cocoa drinks,cream cheese,curd,frozen fruits,margarine,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
5315,beef,fruit/vegetable juice,margarine,other vegetables,pork,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
5316,hamburger meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5317,hamburger meat,ice cream,misc. beverages,onions,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
5318,bottled beer,bottled water,brown bread,canned fish,dessert,fruit/vegetable juice,mayonnaise,onions,popcorn,root vegetables,salt,,,,,,,,,,,,,,,,,,,,,
5319,butter,chocolate,chocolate marshmallow,ice cream,long life bakery product,rolls/buns,soda,spread cheese,,,,,,,,,,,,,,,,,,,,,,,,
5320,UHT-milk,canned beer,coffee,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5321,cat food,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5322,beef,butter,chicken,citrus fruit,coffee,domestic eggs,herbs,long life bakery product,meat,roll products,root vegetables,sausage,waffles,whole milk,,,,,,,,,,,,,,,,,,
5323,canned beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5324,canned beer,chewing gum,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5325,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5326,berries,canned fish,cream cheese,domestic eggs,frozen meals,hard cheese,mayonnaise,meat,mustard,onions,other vegetables,rolls/buns,sausage,shopping bags,soft cheese,,,,,,,,,,,,,,,,,
5327,frankfurter,ketchup,margarine,mayonnaise,mustard,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,
5328,rolls/buns,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5329,brown bread,curd,dental care,dessert,male cosmetics,meat,sausage,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
5330,canned beer,chicken,dessert,liquor,margarine,newspapers,pip fruit,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,
5331,butter milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5332,coffee,cookware,cream cheese,meat spreads,pip fruit,seasonal products,shopping bags,specialty chocolate,yogurt,,,,,,,,,,,,,,,,,,,,,,,
5333,berries,cream cheese,sausage,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5334,butter,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5335,other vegetables,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5336,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,UHT-milk,berries,canned vegetables,hamburger meat,hard cheese,newspapers,other vegetables,processed cheese,soda,specialty bar,waffles,,,,,,,,,,,,,,,,,,,,,
5338,newspapers,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5339,beverages,bottled water,fruit/vegetable juice,rolls/buns,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
5340,newspapers,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5341,pastry,rolls/buns,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5342,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5343,brown bread,dessert,hygiene articles,long life bakery product,pastry,shopping bags,soda,soft cheese,,,,,,,,,,,,,,,,,,,,,,,,
5344,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5345,UHT-milk,chocolate,domestic eggs,hamburger meat,herbs,oil,,,,,,,,,,,,,,,,,,,,,,,,,,
5346,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5347,other vegetables,specialty cheese,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5348,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,candy,chocolate,flower (seeds),napkins,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,margarine,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5351,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352,butter,chicken,chocolate,frozen vegetables,misc. beverages,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
5353,salt,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5354,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5356,chewing gum,misc. beverages,pip fruit,shopping bags,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
5357,domestic eggs,sausage,shopping bags,soda,spread cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358,other vegetables,salty snack,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5359,detergent,fruit/vegetable juice,misc. beverages,onions,other vegetables,pip fruit,red/blush wine,root vegetables,salty snack,shopping bags,tropical fruit,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,
5360,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5361,frankfurter,processed cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5362,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5363,coffee,fruit/vegetable juice,ham,hard cheese,margarine,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
5364,beef,bottled water,butter milk,detergent,house keeping products,hygiene articles,napkins,other vegetables,pork,roll products,sausage,tropical fruit,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,
5365,beef,frankfurter,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5366,UHT-milk,cream cheese,fish,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5367,chewing gum,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5368,chewing gum,citrus fruit,rolls/buns,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
5369,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5370,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5371,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5372,UHT-milk,detergent,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5373,citrus fruit,curd,dishes,domestic eggs,frozen fish,jam,other vegetables,pip fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,
5374,bottled beer,hygiene articles,liquor (appetizer),whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5375,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5376,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5377,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5378,dessert,ham,misc. beverages,rolls/buns,skin care,waffles,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
5379,meat,misc. beverages,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5380,pip fruit,rolls/buns,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5381,UHT-milk,domestic eggs,fruit/vegetable juice,newspapers,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
5382,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5383,butter milk,margarine,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5384,butter milk,coffee,cream cheese,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5385,bottled water,margarine,pip fruit,rolls/buns,root vegetables,sausage,spread cheese,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
5386,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5387,rolls/buns,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,UHT-milk,bottled water,cat food,coffee,domestic eggs,female sanitary products,margarine,misc. beverages,newspapers,pasta,root vegetables,seasonal products,soda,soups,sparkling wine,specialty bar,specialty chocolate,,,,,,,,,,,,,,,
5389,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5390,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
